code,title,credits,mandatory,url,description,assessment_data,corequisites_list,faculty,freechoice,level,prerequisites_list,schedule_data,semesters
COMP10120,First Year Team Project,20,Mandatory,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/COMP10120,"This course unit is all about teamwork, communication, and active learning: in your team and with your tutor, you work on various tasks, thereby gaining valuable experience in teamwork and developing useful skills around communication, reflection, self-organisation, time management, independently acquiring new knowledge and skills, professional behaviour, project organisation, etc. The tasks teams work on include understanding ethical frameworks for computer science professionals, intellectual property issues, and the development of a web-based information system.","[{'course_code': 'COMP10120', 'assessment_type_id': 1, 'percentage': 0.4}, {'course_code': 'COMP10120', 'assessment_type_id': 2, 'percentage': 0.4}, {'course_code': 'COMP10120', 'assessment_type_id': 3, 'percentage': 0.2}]",,,False,1,,"[{'course_code': 'COMP10120', 'schedule_type_id': 1, 'hours': 1.8333333333333333}, {'course_code': 'COMP10120', 'schedule_type_id': 2, 'hours': 3.4166666666666665}, {'course_code': 'COMP10120', 'schedule_type_id': 3, 'hours': 1.9166666666666667}, {'course_code': 'COMP10120', 'schedule_type_id': 4, 'hours': 9.5}]",Full year
COMP16321,Introduction to Programming 1,20,Mandatory,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/COMP16321,"This course offers a comprehensive introduction to programming through Python, one of the most accessible and widely used programming languages today. Students will explore core programming concepts including variables, control structures, functions, file handling, and modular design. The curriculum also covers practical skills such as using libraries, building graphical user interfaces, implementing animations, and visualising data. With an emphasis on writing maintainable and secure code, students will gain the confidence to analyse, design, and implement solutions to real-world problems. Through a blend of foundational theory and hands-on coding experience, this course equips learners with the essential tools and mindset to begin their journey as capable, problem-solving developers.","[{'course_code': 'COMP16321', 'assessment_type_id': 4, 'percentage': 0.5}, {'course_code': 'COMP16321', 'assessment_type_id': 5, 'percentage': 0.5}]",COMP16412,,False,1,,"[{'course_code': 'COMP16321', 'schedule_type_id': 1, 'hours': 0.8333333333333334}, {'course_code': 'COMP16321', 'schedule_type_id': 2, 'hours': 1.5}, {'course_code': 'COMP16321', 'schedule_type_id': 4, 'hours': 14.166666666666666}]",Semester 1
COMP16412,Introduction to Programming 2,10,Mandatory,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/COMP16412,"This course introduces the concepts of object oriented programming using the Java 	language. The features of the object oriented paradigm will be illustrated through theoretical 	classes, and practical workshops and labs.","[{'course_code': 'COMP16412', 'assessment_type_id': 4, 'percentage': 0.5}, {'course_code': 'COMP16412', 'assessment_type_id': 5, 'percentage': 0.5}]",COMP16321,,True,1,,"[{'course_code': 'COMP16412', 'schedule_type_id': 1, 'hours': 0.5}, {'course_code': 'COMP16412', 'schedule_type_id': 2, 'hours': 2.75}, {'course_code': 'COMP16412', 'schedule_type_id': 4, 'hours': 5.083333333333333}]",Semester 2
MATH11022,Linear Algebra,20,Mandatory,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/MATH11022,"Linear algebra is one of the most applicable areas of mathematics, both within mathematics itself as well as to other areas of knowledge, from Engineering to Economics.  This course provides a solid introduction to this area and introduces many properties of matrices, such as determinants and eigenvalues, as well as an introduction to abstract vector spaces. Almost all the results in the course are given formal proofs giving a precise understanding of their validity","[{'course_code': 'MATH11022', 'assessment_type_id': 11, 'percentage': 0.2}, {'course_code': 'MATH11022', 'assessment_type_id': 4, 'percentage': 0.8}]",,,False,1,MATH11121,"[{'course_code': 'MATH11022', 'schedule_type_id': 1, 'hours': 3.6666666666666665}, {'course_code': 'MATH11022', 'schedule_type_id': 3, 'hours': 1.0}, {'course_code': 'MATH11022', 'schedule_type_id': 4, 'hours': 12.0}]",Semester 2
MATH11121,Mathematical Foundations & Analysis,20,Mandatory,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/MATH11121,"This unit provides the foundations for much of University level mathematics.  It introduces rigorous mathematical language and notation that are used throughout the degree, including mathematical logic.  In it we discuss methods of proof, properties of finite and infinite sets as well as equivalence relations. In the second half, we introduce the notion of convergence of infinite sequences and their limits and finally make rigorous the idea of continuous function. There are also discussions of complex numbers.","[{'course_code': 'MATH11121', 'assessment_type_id': 11, 'percentage': 0.2}, {'course_code': 'MATH11121', 'assessment_type_id': 4, 'percentage': 0.8}]",,,False,1,,"[{'course_code': 'MATH11121', 'schedule_type_id': 1, 'hours': 3.6666666666666665}, {'course_code': 'MATH11121', 'schedule_type_id': 3, 'hours': 0.9166666666666666}, {'course_code': 'MATH11121', 'schedule_type_id': 4, 'hours': 12.083333333333334}]",Semester 1
MATH11711,Probability I,10,Mandatory,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/MATH11711,"This unit introduces the basic ideas and techniques of probability, including the handling of random variables and standard probability distributions and the crucial notions of conditional probability and of independence, to equip the students with the necessary knowledge required for probability related courses in their later studies","[{'course_code': 'MATH11711', 'assessment_type_id': 11, 'percentage': 0.1}, {'course_code': 'MATH11711', 'assessment_type_id': 4, 'percentage': 0.9}]",,,False,1,,"[{'course_code': 'MATH11711', 'schedule_type_id': 1, 'hours': 1.8333333333333333}, {'course_code': 'MATH11711', 'schedule_type_id': 3, 'hours': 0.4166666666666667}, {'course_code': 'MATH11711', 'schedule_type_id': 4, 'hours': 6.083333333333333}]",Semester 1
COMP11212,Fundamentals of Computation,10,Optional,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/COMP11212,"Student comments: 'The material was very interesting and I could definitely see it being useful on the near future. Overall, I enjoyed this course unit, because I felt that it extended to other course units.' - 'Through the material covered you understand better how the computer interpretes data (and generally works), and learn more about programming languages and algorithms.' - 'The course content was extremely interesting, and the PhD demonstrators were helpful and approachable. I am glad I took this module.'","[{'course_code': 'COMP11212', 'assessment_type_id': 4, 'percentage': 0.8}, {'course_code': 'COMP11212', 'assessment_type_id': 1, 'percentage': 0.2}]",COMP11120,,True,1,,"[{'course_code': 'COMP11212', 'schedule_type_id': 1, 'hours': 0.9166666666666666}, {'course_code': 'COMP11212', 'schedule_type_id': 2, 'hours': 0.9166666666666666}, {'course_code': 'COMP11212', 'schedule_type_id': 4, 'hours': 6.333333333333333}]",Semester 2
COMP13212,Data Science,10,Optional,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/COMP13212,"This course unit has two objectives. The first is to introduce the student to a range of fundamental, non-trivial algotithms, and to the techniques required to analyse their correctness and running-time. The second is to present a conceptual framework for analysing the intrinsic complexity of computational problems, which abstracts away from details of particular algorithms.","[{'course_code': 'COMP13212', 'assessment_type_id': 4, 'percentage': 0.8}, {'course_code': 'COMP13212', 'assessment_type_id': 5, 'percentage': 0.2}]",,,True,1,,"[{'course_code': 'COMP13212', 'schedule_type_id': 1, 'hours': 1.8333333333333333}, {'course_code': 'COMP13212', 'schedule_type_id': 2, 'hours': 1.0}, {'course_code': 'COMP13212', 'schedule_type_id': 4, 'hours': 5.5}]",Semester 2
COMP15212,Operating Systems,10,Optional,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/COMP15212,,"[{'course_code': 'COMP15212', 'assessment_type_id': 4, 'percentage': 0.8}, {'course_code': 'COMP15212', 'assessment_type_id': 5, 'percentage': 0.2}]",,,True,1,,"[{'course_code': 'COMP15212', 'schedule_type_id': 1, 'hours': 3.3333333333333335}, {'course_code': 'COMP15212', 'schedule_type_id': 2, 'hours': 1.6666666666666667}, {'course_code': 'COMP15212', 'schedule_type_id': 4, 'hours': 3.3333333333333335}]",Semester 2
MATH11412,Introduction to Ordinary Differential Equations,10,Optional,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/MATH11412,"The unit provides a basic introduction to ordinary differential equations (ODEs) and some applications. The course will discuss both methods, including analytical as well graphical and approximate methods associated with general first and second order ODEs. Applications including simple problems drawn from many fields including Newtonian mechanics, population models, economics, biology, will be introduced, and the corresponding equations will be written down and their solutions discussed.","[{'course_code': 'MATH11412', 'assessment_type_id': 11, 'percentage': 0.2}, {'course_code': 'MATH11412', 'assessment_type_id': 4, 'percentage': 0.8}]",,,False,1,,"[{'course_code': 'MATH11412', 'schedule_type_id': 1, 'hours': 1.5}, {'course_code': 'MATH11412', 'schedule_type_id': 3, 'hours': 0.5}, {'course_code': 'MATH11412', 'schedule_type_id': 4, 'hours': 6.333333333333333}]",Semester 2
