course_code,type,weight
COMP10120,Coursework,0.6
COMP10120,Presentation,0.4
COMP11120,Exam,0.8
COMP11120,Coursework,0.2
COMP11212,Exam,0.8
COMP11212,Coursework,0.2
COMP12111,Exam,0.5
COMP12111,Practical,0.5
COMP13212,Exam,0.8
COMP13212,Practical,0.2
COMP15111,Other,0.15
COMP15111,Exam,0.5
COMP15111,Practical,0.35
COMP15212,Exam,0.8
COMP15212,Practical,0.2
COMP16321,Exam,0.7
COMP16321,Practical,0.3
COMP16412,Exam,0.5
COMP16412,Practical,0.5
COMP23311,Exam,0.7
COMP23311,Practical,0.3
COMP23412,Exam,0.5
COMP23412,Project,0.5
COMP26020,Exam,0.7
COMP26020,Coursework,0.3
COMP26120,Exam,0.7
COMP26120,Practical,0.3
COMP21111,Exam,0.7
COMP21111,Coursework,0.3
COMP22111,Exam,0.5
COMP22111,Practical,0.5
COMP22712,Practical,1.0
COMP23111,Exam,0.7
COMP23111,Practical,0.3
COMP24011,Exam,0.8
COMP24011,Coursework,0.2
COMP24112,Exam,0.8
COMP24112,Practical,0.2
COMP24412,Exam,0.3
COMP24412,Practical,0.7
COMP25212,Exam,0.7
COMP25212,Practical,0.3
COMP27112,Exam,0.7
COMP27112,Practical,0.3
COMP28112,Exam,0.5
COMP28112,Practical,0.5
MCEL10001,Other,0.2
MCEL10002,Other,0.24
MCEL10022,Other,0.2
COMP30040,Other,1.0
COMP31311,Exam,0.8
COMP31311,Practical,0.2
COMP32211,Exam,0.5
COMP32211,Practical,0.5
COMP32412,Exam,1.0
COMP33312,Exam,1.0
COMP33511,Exam,0.7
COMP33511,Coursework,0.3
COMP34111,Exam,0.5
COMP34111,Coursework,0.5
COMP34212,Exam,0.7
COMP34212,Coursework,0.3
COMP34312,Other,0.2
COMP34312,Exam,0.8
COMP34612,Exam,0.5
COMP34612,Coursework,0.5
COMP34711,Exam,0.7
COMP34711,Coursework,0.3
COMP34812,Exam,0.7
COMP34812,Practical,0.3
COMP35112,Exam,0.7
COMP35112,Coursework,0.3
COMP36111,Exam,0.8
COMP36111,Coursework,0.2
COMP36212,Coursework,1.0
COMP37111,Exam,0.9
COMP37111,Coursework,0.1
COMP37212,Exam,0.7
COMP37212,Coursework,0.3
COMP38311,Exam,1.0
COMP39112,Exam,1.0
EEEN31001,Other,0.24
MCEL30031,Other,0.24
MCEL30032,Coursework,1.0
