course_code,type,weight
COMP10120,Coursework,0.6
COMP10120,Presentation,0.4
COMP16321,Exam,0.7
COMP16321,Practical,0.3
COMP16412,Exam,0.5
COMP16412,Practical,0.5
MATH11022,Other,0.1
MATH11022,Exam,0.8
MATH11022,Coursework,0.1
MATH11121,Other,0.1
MATH11121,Exam,0.9
MATH11711,Other,0.1
MATH11711,Exam,0.9
COMP11212,Exam,0.8
COMP11212,Coursework,0.2
COMP13212,Exam,0.8
COMP13212,Practical,0.2
COMP15212,Exam,0.8
COMP15212,Practical,0.2
MATH11412,Other,0.2
MATH11412,Exam,0.8
MATH11712,Other,0.1
MATH11712,Exam,0.8
MATH11712,Coursework,0.1
MATH21120,Exam,1.0
COMP21111,Exam,0.7
COMP21111,Coursework,0.3
COMP23111,Exam,0.7
COMP23111,Practical,0.3
COMP23311,Exam,0.7
COMP23311,Practical,0.3
COMP23412,Exam,0.5
COMP23412,Project,0.5
COMP24011,Exam,0.8
COMP24011,Coursework,0.2
COMP24112,Exam,0.8
COMP24112,Practical,0.2
COMP24412,Exam,0.3
COMP24412,Practical,0.7
COMP26020,Exam,0.7
COMP26020,Coursework,0.3
COMP26120,Exam,0.7
COMP26120,Practical,0.3
COMP27112,Exam,0.7
COMP27112,Practical,0.3
COMP28112,Exam,0.5
COMP28112,Practical,0.5
MATH20521,Other,0.2
MATH20521,Exam,0.6
MATH20521,Coursework,0.2
MATH20912,Exam,1.0
MATH21111,Other,0.2
MATH21111,Exam,0.8
MATH21112,Other,0.2
MATH21112,Exam,0.8
MATH24411,Exam,1.0
MATH24412,Other,1.0
MATH24420,Exam,0.8
MATH24420,Coursework,0.2
MATH27711,Other,0.2
MATH27711,Exam,0.8
MATH27712,Exam,1.0
MATH27720,Other,0.1
MATH27720,Exam,0.9
COMP30030,Other,1.0
COMP31311,Exam,0.8
COMP31311,Practical,0.2
COMP33312,Exam,1.0
COMP33511,Exam,0.7
COMP33511,Coursework,0.3
COMP34111,Exam,0.5
COMP34111,Coursework,0.5
COMP34212,Exam,0.7
COMP34212,Coursework,0.3
COMP34312,Other,0.2
COMP34312,Exam,0.8
COMP34612,Exam,0.5
COMP34612,Coursework,0.5
COMP34711,Exam,0.7
COMP34711,Coursework,0.3
COMP34812,Exam,0.7
COMP34812,Practical,0.3
COMP36111,Exam,0.8
COMP36111,Coursework,0.2
COMP36212,Coursework,1.0
COMP37111,Exam,0.9
COMP37111,Coursework,0.1
COMP37212,Exam,0.7
COMP37212,Coursework,0.3
COMP38311,Exam,1.0
COMP39112,Exam,1.0
MATH29141,Other,0.2
MATH29141,Exam,0.8
MATH30002,Other,0.8
MATH30002,Presentation,0.2
MATH31010,Other,0.2
MATH31010,Exam,0.8
MATH31061,Exam,1.0
MATH31072,Exam,0.8
MATH31072,Coursework,0.2
MATH32010,Exam,1.0
MATH32031,Other,0.2
MATH32031,Exam,0.8
MATH32052,Other,0.2
MATH32052,Exam,0.8
MATH32062,Other,0.2
MATH32062,Exam,0.8
MATH32072,Exam,1.0
MATH32091,Other,0.3
MATH32091,Exam,0.7
MATH33021,Exam,1.0
MATH34011,Other,0.1
MATH34011,Exam,0.9
MATH35012,Other,0.2
MATH35012,Exam,0.8
MATH35020,Other,0.1
MATH35020,Exam,0.8
MATH35020,Coursework,0.1
MATH35031,Other,0.2
MATH35031,Exam,0.8
MATH35041,Exam,0.8
MATH35041,Coursework,0.2
MATH35062,Other,0.2
MATH35062,Coursework,0.8
MATH36022,Other,0.2
MATH36022,Exam,0.8
MATH36031,Other,0.22
MATH36160,Other,0.1
MATH36160,Exam,0.45
MATH36160,Coursework,0.45
MATH37002,Exam,1.0
MATH37011,Other,0.2
MATH37011,Exam,0.8
MATH37021,Exam,1.0
MATH38032,Other,0.24
MATH38072,Other,0.2
MATH38072,Exam,0.8
MATH38161,Other,0.3
MATH38161,Exam,0.7
MATH38171,Other,0.2
MATH38171,Exam,0.8
MATH39032,Exam,1.0
MCEL30031,Other,0.24
MCEL30032,Coursework,1.0
