title,code,url,credits,mandatory,level,semester,faculty,freechoice,description,required_by,corequisites_list,prerequisites_list
First Year Team Project,COMP10120,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP10120,20,Mandatory,1,Full year,Department of Computer Science,False,"In this course, you will explore both the technical and professional foundations of computer science, learning how to build web applications while developing skills that are essential for working in teams and solving real-world problems. Core technical topics •    How the web works, including the structure of websites and how browsers communicate with servers •    Creating web pages using HTML for structure and CSS for layout and visual design •    Writing interactive web content using JavaScript •    Storing and retrieving data using databases •    Building server-side applications using Serverside Technologies •    Working with APIs to access and use data from external services •    Basic principles of web security and how to protect applications and data •    Version control and deployment, including how to manage and share code safely Project and practical skills •    Planning, designing, and building a data-driven web application as part of a team •    Using tools and workflows commonly used in software development •    Testing, improving, and presenting your work Teamwork and professional skills •    Working effectively in a team, including organising tasks, managing time, and resolving issues •    Communicating ideas clearly through presentations, posters, and written reports •    Understanding intellectual property, ethics, and professional responsibilities in computing •    Considering equality, diversity, and inclusion in team and project work Learning and reflection •    Developing independent learning skills and confidence in learning new technologies •    Reflecting on your progress, strengths, and areas for improvement •    Writing short reflective and technical reports to explain what you have learned By the end of the course, you will have practical experience of building a real web application, along with the teamwork, communication, and problem-solving skills needed for the rest of your degree and a future career in computing.",,,
Introduction to Programming 1,COMP16321,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP16321,20,Mandatory,1,Semester 1,Department of Computer Science,False,"Programming is a core skill in the digital era, underpinning innovation in virtually every domain of computing, from web and mobile apps to scientific research and intelligent systems. This unit introduces students to the foundational concepts of programming through Python, a widely-used and versatile programming language known for its readability and broad ecosystem. The course begins by exploring the building blocks of programming: variables, data types, and control structures such as selection and iteration. From these fundamentals, students’ progress into practical techniques like file handling and modular programming using functions. They will learn to structure their programs using functions, leverage external libraries and packages, and apply best practices for writing clean, maintainable, and secure code. As students gain confidence, they will investigate more applied topics such as graphical interfaces and animation, enabling the development of interactive applications. Object-oriented programming principles will be introduced to illustrate how complex software systems are structured and maintained. The course also places a strong emphasis on real-world applicability, teaching secure coding practices and exploring how to visualize data effectively, skills increasingly vital across industries. Throughout the unit, students will not only learn how to write Python programs, but also how to think computationally, analysing problems, designing algorithmic solutions, and evaluating code quality in terms of performance, maintainability, and correctness. They will build confidence in estimating development effort, selecting appropriate libraries and tools, and reflecting on the purpose and structure of existing code. By combining theory, hands-on programming, and creative problem-solving, this unit equips students with the essential skills to begin their journey as confident, capable software developers.","COMP16412,COMP23311,COMP26020,COMP26120,MATH36160",COMP16412,
Introduction to Programming 2,COMP16412,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP16412,10,Mandatory,1,Semester 2,Department of Computer Science,True,"This unit teaches students how to design and build software using object-oriented programming principles in Java. The course begins with programming fundamentals-how to structure code, make decisions, and repeat operations-before introducing the core concept of organising programmes around ""objects"" with their own data and behaviours. Students learn how to create blueprints for these objects, how to build relationships between different types of objects, and how to design code that can be easily modified and extended over time. As the course progresses, students work with Java's built-in tools for organising and managing collections of data, such as lists, queues, and maps, and learn to choose the right tool for different programming challenges. The latter portions cover modern Java features that make code more concise and expressive, as well as techniques for processing data efficiently using contemporary programming styles. Beyond technical programming skills, this unit emphasises responsible and sustainable software development practices that are increasingly critical in the technology industry. Students examine real-world concerns, including software security and accessibility, reading current research on topics such as whether Al coding assistants lead developers to write less secure code, and how to design software that works well for users with diverse needs and abilities. The course addresses sustainability by teaching students to write efficient code that uses computational resources wisely,to design software architectures using diagrams that remain maintainable overrather than requiring costly rewrites. Students also learn to build graphical applications with interactive user interfaces and to handle multiple simultaneous operations within their programmes. Throughout the unit, students develop professional skills such as reading technical documentation, understanding visual software diagrams, writing clear code documentation, testing their code to prevent errors, and working on large projects-preparing them for collaborative software development in both academic and professional contexts.","COMP16321,COMP23311,COMP26020,COMP26120,COMP28112",COMP16321,
Linear Algebra,MATH11022,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MATH11022,20,Mandatory,1,Semester 2,Department of Mathematics,False,"Linear algebra is one of the most applicable areas of mathematics, both within mathematics itself as well as to other areas of knowledge, from Engineering to Economics.  This course provides a solid introduction to this area and introduces many properties of matrices, such as determinants and eigenvalues, as well as an introduction to abstract vector spaces. Almost all the results in the course are given formal proofs giving a precise understanding of their validity","MATH21120,MATH24411,MATH27711,MATH32062,MATH32091,MATH35031,MATH38171",,MATH11121
Mathematical Foundations & Analysis,MATH11121,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MATH11121,20,Mandatory,1,Semester 1,Department of Mathematics,False,"This unit provides the foundations for much of University level mathematics.  It introduces rigorous mathematical language and notation that are used throughout the degree, including mathematical logic.  In it we discuss methods of proof, properties of finite and infinite sets as well as equivalence relations. In the second half, we introduce the notion of convergence of infinite sequences and their limits and finally make rigorous the idea of continuous function. There are also discussions of complex numbers.","MATH11022,COMP11212,MATH21120,COMP21111,COMP24011,COMP24112,MATH24411,COMP31311,COMP34111,COMP34612,COMP36111,MATH29141,MATH31010,MATH32072,MATH34011,MATH37021",,
Probability I,MATH11711,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MATH11711,10,Mandatory,1,Semester 1,Department of Mathematics,False,"This unit introduces the basic ideas and techniques of probability, including the handling of random variables and standard probability distributions and the crucial notions of conditional probability and of independence, to equip the students with the necessary knowledge required for probability related courses in their later studies","MATH27711,MATH27712,MATH27720,MATH35031",,
Fundamentals of Computation,COMP11212,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP11212,10,Optional,1,Semester 2,Department of Computer Science,True,"The building of real-life computing systems, e.g. mobile phone, TV/video remote control, internet shopping, air-traffic control, internet banking, etc., is always a complex task. Mistakes can be not just annoying, but also costly and sometimes life threatening. Formal methods and techniques to support the building and understanding of such systems are essential. This course unit provides the basic computer science ideas underlying such methods. It introduces mathematical models that allow the description, verification, and analysis of computing systems and their limitations.",COMP36111,COMP11120,MATH11121
Data Science,COMP13212,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP13212,10,Optional,1,Semester 2,,True,"This course unit has two objectives. The first is to introduce the student to a range of fundamental, non-trivial algotithms, and to the techniques required to analyse their correctness and running-time. The second is to present a conceptual framework for analysing the intrinsic complexity of computational problems, which abstracts away from details of particular algorithms.","COMP24011,COMP34111,COMP34612",,
Operating Systems,COMP15212,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP15212,10,Optional,1,Semester 2,Department of Computer Science,True,An operating system is typically the 'lowest' layer of software in a computer. It provides an abstracted interface so that applications can run on diverse hardware without modification and it provides security which prevents misbehaving software from crashing the hardware or disturbing other tasks which may be running simultaneously. This course unit provides an introduction to the major principles of implementation of an operating system and some experience in how these features may be exploited by the 'higher' software layers.,COMP28112,,
Introduction to Ordinary Differential Equations,MATH11412,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MATH11412,10,Optional,1,Semester 2,,False,"The unit provides a basic introduction to ordinary differential equations (ODEs) and some applications. The course will discuss both methods, including analytical as well graphical and approximate methods associated with general first and second order ODEs. Applications including simple problems drawn from many fields including Newtonian mechanics, population models, economics, biology, will be introduced, and the corresponding equations will be written down and their solutions discussed.","MATH20521,MATH24420,MATH32091,MATH35031,MATH35041",,
Statistics I,MATH11712,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MATH11712,10,Optional,1,Semester 2,,False,"The unit introduces students to basic ideas in exploratory data analysis, parametric statistical modelling, inferential statistics, and statistical computing in R, thereby preparing them for further study in Statistics in the second and third year.","MATH27711,MATH27720",,
Groups and Geometry,MATH21120,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MATH21120,20,Mandatory,2,Full year,Department of Mathematics,False,"Groups are abstract algebraic structures which are central to almost every area of modern pure mathematics, and also to many application areas. In geometry, they manifest themselves as the natural way to describe and study symmetry.  The course will provide an introduction to the algebraic theory of groups, and to some of their applications in geometric settings. It will also develop skills in abstract reasoning and mathematical writing, which are essential for later study in pure mathematics and also applicable in other areas.","MATH21112,MATH31061,MATH31072,MATH32010,MATH32031,MATH32052,MATH32072",,"MATH11022,MATH11121"
