course_code,type,weight
AERO10421,Exam,0.2
AERO10421,Coursework,0.8
AERO12101,Other,0.25
CIVL10031,Exam,0.05
CIVL10031,Coursework,0.5
CIVL10031,Coursework,0.15
CIVL10031,Coursework,0.3
CIVL10031,Other,0.05
EEEN10492,Exam,0.8
EEEN10492,Coursework,0.2
MATH19661,Exam,0.8
MATH19661,Coursework,0.1
MATH19661,Other,0.1
MATH19662,Exam,0.8
MATH19662,Coursework,0.1
MATH19662,Coursework,0.1
MATH19662,Exam,0.8
MECH10030,Practical,1.0
MECH10331,Exam,0.6
MECH10331,Coursework,0.4
MECH11012,Exam,0.8
MECH11012,Practical,0.05
MECH11012,Coursework,0.15
MECH11311,Exam,0.8
MECH11311,Coursework,0.2
MECH11602,Exam,0.8
MECH11602,Coursework,0.15
MECH11602,Other,0.05
MECH12002,Exam,0.8
MECH12002,Coursework,0.15
MECH12002,Other,0.05
MECH12012,Exam,0.8
MECH12012,Coursework,0.2
AERO20092,Exam,0.5
AERO20092,Coursework,0.5
AERO20121,Exam,0.8
AERO20121,Coursework,0.15
AERO20121,Other,0.05
ENGM22492,Exam,0.5
ENGM22492,Coursework,0.5
MATH29661,Exam,0.8
MATH29661,Coursework,0.2
MECH20030,Practical,1.0
MECH20041,Exam,0.8
MECH20041,Coursework,0.15
MECH20041,Other,0.05
MECH20051,Exam,0.8
MECH20051,Coursework,0.2
MECH20071,Exam,0.5
MECH20071,Coursework,0.5
MECH20422,Exam,0.8
MECH20422,Coursework,0.2
MECH20442,Exam,0.8
MECH20442,Coursework,0.2
MECH21021,Exam,0.8
MECH21021,Project,0.2
MECH21342,Exam,0.2
MECH21342,Coursework,0.5
MECH21342,Project,0.3
MECH22202,Exam,0.8
MECH22202,Coursework,0.2
AERO30021,Exam,0.8
AERO30021,Coursework,0.2
AERO30441,Exam,0.8
AERO30441,Coursework,0.2
ENGM30461,Exam,0.8
ENGM30461,Project,0.2
MECH30121,Exam,0.8
MECH30121,Coursework,0.2
MECH30432,Exam,0.8
MECH30432,Coursework,0.2
MECH31030,Coursework,0.8
MECH31030,Other,0.05
MECH31030,Presentation,0.15
MECH31041,Exam,0.1
MECH31041,Coursework,0.1
MECH31041,Project,0.8
MECH32002,Exam,0.8
MECH32002,Coursework,0.15
MECH32002,Other,0.05
AERO30052,Exam,0.8
AERO30052,Coursework,0.2
CIVL31532,Exam,0.1
CIVL31532,Coursework,0.8
CIVL31532,Other,0.1
MECH30632,Exam,0.8
MECH30632,Project,0.2
MECH31422,Exam,0.8
MECH31422,Coursework,0.2
MECH32102,Exam,0.8
MECH32102,Project,0.2
